BCFtools,DeepVariant,FreeBayes,GATK
211534906,211538231,211541998,211534437
211535249,211538474,211542064,211534906
211535980,211538598,211542253,211535249
211538231,211538709,211542352,211535980
211538474,211539309,211542427,211538231
211538598,211539659,211543454,211538474
211538709,211539797,211544180,211538598
211539309,211540219,211544951,211538709
211539659,211540865,211545123,211539309
211539797,211541071,211546208,211539659
211540219,211541189,211551192,211539797
211540865,211541307,211551223,211540219
211541071,211541677,211551304,211540865
211541189,211541975,211551589,211541071
211541307,211541998,211551604,211541189
211541677,211542064,211552125,211541307
211541975,211542253,211552363,211541677
211541998,211542352,211553385,211541975
211542064,211542427,211554461,211541998
211542253,211543454,211555474,211542064
211542352,211544180,211556676,211542253
211542427,211544951,211556751,211542352
211543454,211545123,211556762,211542427
211544180,211546208,211556809,211543454
211544951,211551192,211556827,211544180
211545123,211551223,211557244,211544951
211546208,211551304,211557274,211545123
211551192,211551589,211557990,211546208
211551223,211551604,211558097,211551192
211551304,211552125,211558577,211551223
211551589,211552363,211559294,211551304
211551604,211553385,211559514,211551589
211552125,211554461,211560224,211551604
211552363,211555474,211560788,211552125
211553385,211556676,211560829,211552363
211554461,211556751,211561110,211553385
211555474,211556762,211561162,211554461
211556676,211556809,211561516,211555474
211556751,211556827,211561741,211556676
211556762,211557244,211562537,211556751
211556809,211557274,211562552,211556762
211556827,211557990,211562664,211556809
211557244,211558097,211563610,211556827
211557274,211558577,211563714,211557244
211557990,211559294,211563921,211557274
211558097,211559514,211563931,211557990
211558577,211560224,211564924,211558097
211559294,211560788,211566567,211558577
211559514,211560829,211566804,211559294
211560224,211561110,211567782,211559514
211560788,211561162,211568600,211560224
211560829,211561516,211569264,211560788
211561110,211561741,211569312,211560829
211561162,211562537,211570488,211561110
211561516,211562552,211570791,211561162
211561741,211562664,211572179,211561516
211562537,211563610,211572347,211561741
211562552,211563714,211573936,211562537
211562664,211563921,211574128,211562552
211563610,211563931,211574136,211562664
211563714,211564924,211574331,211563610
211563921,211566567,211574587,211563714
211563931,211566804,211574970,211563921
211564924,211567782,211575316,211563931
211566567,211568600,211575775,211564924
211566804,211569264,211576065,211566567
211567782,211569312,211576871,211566804
211568600,211570344,211577661,211567782
211569264,211570488,211578097,211568600
211569312,211570791,211578632,211569264
211570344,211572179,211578711,211569312
211570488,211572347,211579780,211570344
211570791,211573936,211580037,211570488
211572179,211574128,211580146,211570791
211572347,211574136,211580692,211572179
211573707,211574331,211580879,211572347
211573936,211574587,211580889,211573936
211574128,211574970,211581126,211574128
211574136,211575316,211581140,211574136
211574331,211575775,211581626,211574331
211574587,211576065,211582081,211574587
211574970,211576871,211582093,211574970
211575316,211577661,211582993,211575316
211575775,211578097,211583617,211575775
211576065,211578632,211583622,211576065
211576871,211578711,211583853,211576871
211577661,211579780,211584011,211577661
211578097,211580037,211584034,211578097
211578632,211580146,211584099,211578632
211578711,211580692,211584393,211578711
211579780,211580835,211584593,211579780
211580037,211580859,211585224,211580037
211580146,211580860,211585474,211580146
211580692,211580889,211586565,211580692
211580859,211581126,211587873,211580835
211580860,211581140,211587924,211580859
211581126,211581626,211588380,211580860
211581140,211582081,211588759,211580863
211581626,211582093,211588872,211580866
211582081,211582993,211588936,211580889
211582093,211583617,211589064,211581126
211582993,211583622,211589176,211581140
211583617,211583853,211589680,211581626
211583622,211584011,211589858,211582081
211583853,211584034,211591182,211582093
211584011,211584099,211591996,211582993
211584034,211584393,211592276,211583617
211584099,211584593,211592470,211583622
211584393,211585224,211592575,211583853
211584593,211585474,211592970,211584011
211585224,211586565,211593334,211584034
211585474,211587873,211593481,211584099
211586565,211587924,211594065,211584393
211587873,211588380,211595864,211584593
211587924,211588759,211595871,211585224
211588380,211588872,211596566,211585474
211588759,211588936,211596682,211586565
211588872,211589064,211597038,211587873
211588936,211589176,211597397,211587924
211589064,211589680,211597657,211588380
211589176,211589858,211597901,211588759
211589680,211591182,211598172,211588872
211589858,211591996,211598499,211588936
211591182,211592276,211598581,211589064
211591996,211592470,211599499,211589176
211592276,211592575,211600603,211589680
211592470,211592970,211600939,211589858
211592575,211593334,211602847,211591182
211592970,211593481,211603011,211591996
211593334,211594065,211603233,211592276
211593481,211595864,211604327,211592470
211594065,211595871,211605895,211592575
211595864,211596566,211605992,211592970
211595871,211596682,211606015,211593334
211596566,211597038,211606141,211593481
211596682,211597397,211606917,211594065
211597038,211597657,211607031,211595864
211597397,211597901,211608541,211595871
211597657,211598172,211610087,211596566
211597901,211598499,211610586,211596682
211598172,211598581,211610907,211597038
211598499,211599045,211611046,211597397
211598581,211599046,211614832,211597657
211599045,211599499,211615130,211597901
211599046,211600603,211615568,211598172
211599499,211600939,211620392,211598499
211600603,211602847,211620753,211598581
211600939,211603011,211621625,211599045
211602847,211603233,211622708,211599046
211603011,211604164,211622736,211599499
211603233,211604166,211622924,211600603
211604164,211604327,211624465,211600939
211604166,211605895,211624625,211602847
211604327,211605992,211624954,211603011
211605895,211606015,211625547,211603233
211605992,211606141,211626361,211604164
211606015,211606917,211626811,211604166
211606141,211607031,211626838,211604327
211606917,211608541,211627470,211605895
211607031,211610087,211627983,211605992
211607888,211610586,211628039,211606015
211608541,211610907,211629033,211606141
211610087,211611046,211629343,211606917
211610586,211614832,211629441,211607031
211610907,211615130,211629741,211608541
211611046,211615568,211629758,211610087
211614832,211620392,211629778,211610586
211615130,211620753,211629788,211610907
211615568,211621625,211633757,211611046
211620392,211622708,211634019,211614832
211620753,211622736,211634134,211615130
211621625,211622924,211634743,211615568
211622708,211624465,211634926,211620392
211622736,211624625,211636220,211620753
211622924,211624954,211636987,211621625
211624465,211625547,211640274,211622708
211624625,211626361,211640751,211622736
211624954,211626811,211640939,211622924
211625547,211626838,211641211,211624465
211626361,211627470,211641831,211624625
211626811,211627983,211642508,211624954
211626838,211628039,211642990,211625547
211627470,211629033,211643409,211626361
211627983,211629343,211645789,211626811
211628039,211629441,211646617,211626838
211629033,211629741,211646691,211627470
211629343,211629758,211647170,211627983
211629441,211629778,211647721,211628039
211629741,211629788,211652553,211629033
211629758,211633757,211654537,211629343
211629778,211634019,211661221,211629441
211629788,211634134,211669795,211629741
211633757,211634743,211671034,211629758
211634019,211634926,211671271,211629778
211634134,211636220,211671321,211629788
211634743,211636987,211671772,211633757
211634926,211640274,211675224,211634019
211636109,211640751,211675820,211634134
211636220,211640939,211675851,211634743
211636987,211641211,211675862,211634926
211640274,211641831,211676501,211636220
211640751,211642508,211678503,211636987
211640939,211642990,211679752,211640274
211641211,211643409,211679960,211640751
211641831,211645789,211680440,211640939
211642508,211646617,211681082,211641211
211642990,211646691,211681387,211641831
211643409,211647170,211681697,211642508
211645789,211647721,211681834,211642990
211646617,211652553,211681843,211643409
211646691,211654537,211681887,211645789
211647170,211661221,211681906,211646617
211647721,211669795,211681981,211646691
211652553,211671034,211681992,211647170
211654537,211671271,211682333,211647721
211661221,211671321,211682561,211652553
211669795,211671772,211682589,211654537
211671034,211675224,211683647,211661221
211671271,211675820,211683812,211669795
211671321,211675851,211685533,211671034
211671772,211675862,211687203,211671271
211675820,211676501,211687489,211671321
211675851,211678503,211687954,211671772
211675862,211679752,211688008,211675224
211676501,211679960,211688978,211675820
211678503,211680440,211689028,211675851
211679752,211681082,211689036,211675862
211679960,211681387,211690284,211676501
211680440,211681697,211690360,211678503
211681082,211681834,211690429,211679752
211681387,211681843,211690470,211679960
211681697,211681887,211690824,211680440
211681834,211681906,211691098,211681082
211681843,211681981,211691412,211681387
211681887,211681992,211691604,211681697
211681906,211682333,211693781,211681834
211681981,211682561,211695223,211681843
211681992,211682589,211695376,211681887
211682333,211683647,211696950,211681906
211682561,211683812,211697141,211681981
211682589,211685533,211697775,211681992
211683647,211687203,211701007,211682333
211683812,211687489,211701309,211682561
211685533,211687954,211701346,211682589
211687146,211688008,211701630,211683647
211687203,211688978,211702664,211683812
211687489,211689028,211704594,211685533
211687954,211689036,211705258,211687203
211688008,211690284,211707402,211687489
211688978,211690360,211708840,211687954
211689028,211690429,211709066,211688008
211689036,211690470,211709170,211688978
211690284,211690824,211709739,211689028
211690360,211691098,211710800,211689036
211690429,211691412,211710946,211690284
211690470,211691604,211711318,211690360
211690824,211693781,211712506,211690429
211691098,211695223,211713038,211690470
211691412,211695376,211714253,211690824
211693781,211696950,211714805,211691098
211695223,211697141,211714874,211691412
211695376,211697775,211715172,211691604
211696950,211701007,211715993,211693781
211697141,211701309,211716493,211695223
211697775,211701346,211718818,211695376
211701007,211701630,211718838,211696950
211701309,211702664,211720340,211697141
211701346,211704594,211720911,211697775
211701630,211705258,211721153,211701007
211702664,211707402,211721519,211701309
211704594,211708840,211722245,211701346
211707402,211709066,211722596,211701630
211708840,211709170,211723428,211702664
211709066,211709274,211723902,211704594
211709170,211709739,211725533,211707402
211709739,211710800,211727319,211708840
211710800,211710946,211730025,211709066
211710946,211711318,211732316,211709170
211711318,211712506,211732847,211709739
211712506,211713038,211733749,211710800
211713038,211714253,211734011,211710946
211714253,211714805,211734504,211711318
211714805,211714874,211734705,211712506
211714874,211715172,211734934,211713038
211715172,211715993,211735043,211714253
211715993,211716493,211735499,211714805
211716493,211716642,211735513,211714874
211716642,211716646,211735882,211715172
211716646,211718818,211736199,211715993
211718818,211718838,211736333,211716493
211718838,211720340,211736534,211716642
211720340,211720911,211739053,211716646
211720911,211721153,211739938,211718818
211721153,211721519,211740696,211718838
211721519,211722245,211742595,211720340
211722245,211722596,211743751,211720911
211722596,211723428,211748640,211721153
211723428,211723902,211751210,211721519
211723902,211725533,211753382,211722245
211725533,211727319,211754300,211722596
211727319,211730025,211756147,211723428
211730025,211732316,211758206,211723902
211732316,211732847,211758567,211725533
211732847,211733749,211759179,211727319
211733749,211734011,211759477,211730025
211734011,211734504,211760836,211732316
211734504,211734705,211760981,211732847
211734705,211734934,211761046,211733749
211734934,211735043,211761273,211734011
211735043,211735499,211762192,211734504
211735499,211735513,211764354,211734705
211735513,211735882,211764854,211734934
211735882,211736199,211768991,211735043
211736199,211736333,211769383,211735499
211736333,211736534,211771156,211735513
211736534,211738367,211775984,211735882
211738366,211738372,211776119,211736199
211738371,211738377,211778243,211736333
211738376,211739053,211778453,211736534
211739053,211739938,211782076,211738367
211739938,211740696,211784387,211738372
211740696,211742595,211784923,211738377
211743751,211743751,211786260,211739053
211748640,211748640,211787652,211739938
211751210,211751210,211788704,211740696
211753382,211753382,211789475,211742595
211754300,211754300,211789525,211743751
211756147,211756147,211790092,211748640
211758206,211758206,211791160,211751210
211758567,211758567,211791382,211753382
211759179,211759179,211791496,211754300
211759477,211759477,211792301,211756147
211760836,211760836,211793552,211758206
211760981,211760981,211797671,211758567
211761046,211761046,211797786,211759179
211761273,211761273,211800348,211759477
211762192,211762192,211800930,211760836
211763080,211763080,211802768,211760981
211763083,211763083,211804977,211761046
211764354,211764354,211805700,211761273
211764854,211764854,211807181,211762192
211768991,211768991,211807314,211763080
211769383,211769383,211807693,211763083
211771156,211771156,211807773,211764354
211772594,211775984,211808825,211764854
211772834,211776119,211809124,211768991
211772838,211778243,211809323,211769383
211775984,211778453,211809604,211771156
211776119,211782076,211810519,211772594
211778243,211784387,211810574,211775984
211778453,211784923,211810621,211776119
211782076,211786260,211810793,211778243
211784387,211787652,211810926,211778453
211784923,211788704,211811381,211782076
211785108,211789475,211812159,211784387
211786260,211789525,211813206,211784923
211787652,211790092,211813681,211786260
211788704,211791160,211815798,211787652
211789475,211791382,211817309,211788704
211789525,211791496,211819221,211789475
211790092,211792301,211821543,211789525
211791160,211793552,211822670,211790092
211791382,211797671,211822748,211791160
211791496,211797786,211823139,211791382
211792301,211800348,211823236,211791496
211793552,211800930,211824239,211792301
211797671,211802768,211824737,211793552
211797786,211804977,211824876,211797671
211800348,211805700,211825163,211797786
211800930,211807181,211826370,211800348
211802768,211807314,211826834,211800930
211804977,211807693,211826852,211802768
211805700,211807773,211831013,211804977
211807181,211808825,211831206,211805700
211807314,211809124,211832931,211807181
211807693,211809323,211833993,211807314
211807773,211809604,211834081,211807693
211808825,211810519,211835372,211807773
211809124,211810574,211837325,211808825
211809323,211810621,211837701,211809124
211809604,211810793,211838496,211809323
211810519,211810926,211838719,211809604
211810574,211811381,211838876,211810519
211810621,211812159,211839667,211810574
211810793,211813206,211840165,211810621
211810926,211813681,211840872,211810793
211811381,211815798,211845660,211810926
211812159,211817309,211846209,211811381
211813206,211819221,211848110,211812159
211813681,211821543,211849363,211813206
211815798,211822670,211850263,211813681
211817309,211822748,211850685,211815798
211819221,211822923,211851964,211817309
211821543,211822927,211852490,211819221
211822670,211823139,211853032,211821543
211822748,211823236,211853419,211822670
211822923,211824239,211856562,211822748
211822927,211824737,211858190,211822923
211823139,211824876,211858734,211822927
211823236,211825163,211858791,211823139
211824239,211826370,211859516,211823236
211824737,211826834,211861042,211824239
211824876,211826852,211861054,211824737
211825163,211831013,211861363,211824876
211826370,211831206,211862390,211825163
211826834,211832224,211863116,211826370
211826852,211832228,211866211,211826834
211831013,211832931,211867052,211826852
211831206,211833993,211871669,211831013
211832224,211834081,211872380,211831206
211832228,211835372,211872419,211832224
211832931,211837325,211874177,211832228
211833993,211837701,211881625,211832931
211834081,211838496,211885061,211833993
211835372,211838719,211887468,211834081
211837325,211838876,211888982,211835372
211837701,211839667,211889307,211837325
211838496,211840165,211890029,211837701
211838719,211840872,211890255,211838496
211838876,211845660,211892914,211838719
211839667,211846209,211893864,211838876
211840165,211848110,211917189,211839667
211840872,211849363,211918450,211840165
211845660,211850263,211918639,211840872
211846209,211850685,211919206,211845660
211848110,211851964,211920576,211846209
211849363,211852490,211921730,211848110
211850263,211853032,211922702,211849363
211850685,211853419,211923264,211850263
211851964,211856562,211924170,211850685
211852490,211858190,211925584,211851964
211853032,211858734,211926524,211852490
211853419,211858791,211928473,211853032
211856562,211859516,211930508,211853419
211858190,211861352,211930519,211858190
211858734,211861363,211931653,211858734
211858791,211862390,211932256,211858791
211859516,211863116,211934828,211859516
211862390,211866211,211935237,211861352
211863116,211867052,211937630,211861363
211866211,211871669,211937701,211862390
211871669,211872380,211938040,211863116
211872380,211872419,211940858,211866211
211872419,211874177,211941911,211867052
211874177,211881602,211942439,211871669
211881602,211881625,211942920,211872380
211881625,211885061,211943006,211872419
211885061,211887468,211943382,211874177
211887468,211888982,211943584,211881602
211888982,211889307,211943599,211881625
211889307,211890029,211944227,211885061
211890029,211890255,211944370,211887468
211890255,211892914,211944920,211888982
211892914,211893864,211945430,211889307
211893864,211917189,211946265,211890029
211917189,211918450,211946681,211890255
211918450,211918639,211947076,211892914
211918639,211919206,211947335,211893864
211919206,211920576,211947372,211917189
211920576,211921730,211948296,211918450
211921730,211922702,211949535,211918639
211922702,211923264,211949607,211919206
211923264,211924170,211949612,211920576
211924170,211925584,211949710,211921730
211925584,211926524,211949858,211922702
211926524,211928473,211950572,211923264
211928473,211930508,211951076,211924170
211930508,211930519,211951364,211925584
211930519,211931653,211952106,211926524
211931653,211932256,211952285,211928473
211932256,211934828,211952370,211930508
211934828,211935237,211952594,211930519
211935237,211937630,211952694,211931653
211937630,211937701,211953052,211932256
211937701,211938040,211953200,211934828
211938040,211940858,211955959,211935237
211939966,211941911,211956211,211937630
211940858,211942439,211956369,211937701
211941911,211942920,211956994,211938040
211942439,211943006,211957309,211940858
211942920,211943382,211957517,211941911
211943006,211943584,211957572,211942439
211943382,211943599,211959971,211942920
211943584,211944200,211960274,211943006
211943599,211944215,211960644,211943382
211944370,211944217,211960831,211943584
211944920,211944227,211960848,211943599
211945430,211944370,211961667,211944215
211946265,211944920,211961747,211944370
211946681,211945430,211962227,211944920
211947076,211946265,211962258,211945430
211947335,211946681,211963469,211946265
211947372,211947076,211963869,211946681
211948296,211947335,211964068,211947076
211949535,211947372,211964450,211947335
211949607,211948296,211964772,211947372
211949612,211949535,211966457,211948296
211949710,211949607,211966491,211949535
211949858,211949612,211966741,211949607
211950572,211949710,211967191,211949612
211951076,211949858,211967497,211949710
211951364,211950572,211967521,211949858
211952106,211951076,211967709,211950572
211952285,211951364,211968022,211951076
211952370,211952106,211968346,211951364
211952594,211952285,211968862,211952106
211952694,211952370,211968897,211952285
211952862,211952594,211969445,211952370
211952863,211952694,211969469,211952594
211953052,211952862,211969936,211952694
211953200,211952863,211969941,211952862
211955959,211953052,211970181,211952863
211956211,211953200,211971229,211953052
211956369,211955959,211971396,211953200
211956994,211956211,211971915,211955959
211957309,211956369,211971973,211956211
211957517,211956994,211972032,211956369
211957572,211957309,211972145,211956994
211959971,211957517,211972416,211957309
211960274,211957572,211972695,211957517
211960644,211959971,211972762,211957572
211960831,211960274,211973424,211959971
211960848,211960644,211973500,211960274
211961667,211960831,211973563,211960644
211961747,211960848,211973845,211960831
211962227,211961667,211974321,211960848
211962258,211961747,211974740,211961667
211963469,211962227,211974802,211961747
211963869,211962258,211975141,211962227
211964068,211963469,211975287,211962258
211964450,211963869,211976248,211963469
211964772,211964068,211976312,211963869
211966457,211964450,211976679,211964068
211966491,211964772,211976747,211964450
211966741,211966457,211977397,211964772
211967191,211966491,211977609,211966457
211967497,211966741,211978052,211966491
211967521,211967191,211978291,211966741
211967709,211967497,211979877,211967191
211968022,211967521,211980567,211967497
211968346,211967709,211980692,211967521
211968862,211968022,211980736,211967709
211968897,211968346,211981179,211968022
211968952,211968862,211982173,211968346
211968953,211968897,211982646,211968862
211969445,211968952,211984966,211968897
211969469,211968953,211986404,211968952
211969936,211969445,211986646,211968953
211969941,211969469,211987178,211969445
211970181,211969936,211987944,211969469
211971229,211969941,211988170,211969936
211971396,211970181,211989129,211969941
211971915,211971229,211989155,211970181
211971973,211971396,211989307,211971229
211972032,211971915,211989423,211971396
211972145,211971973,211990109,211971915
211972416,211972032,211990523,211971973
211972695,211972145,211991814,211972032
211972762,211972416,211992276,211972145
211973213,211972695,211993412,211972416
211973424,211972762,211994699,211972695
211973500,211973213,211994957,211972762
211973563,211973424,211995323,211973213
211973845,211973500,211995798,211973424
211974321,211973563,211996243,211973500
211974740,211973845,211996348,211973563
211974802,211974321,211996638,211973845
211975141,211974740,211997903,211974321
211975287,211974802,212000027,211974740
211976248,211975141,212000161,211974802
211976312,211975287,212002797,211975141
211976679,211976248,212002990,211975287
211976747,211976312,212003211,211976248
211977397,211976679,212003256,211976312
211977609,211976747,212003389,211976679
211978052,211977397,212003457,211976747
211978291,211977609,212003899,211977397
211979877,211978052,212004331,211977609
211980567,211978291,212005184,211978052
211980692,211978396,212005976,211978291
211980736,211979877,212006344,211978396
211980991,211980567,212006783,211979877
211981179,211980692,212006867,211980567
211982173,211980736,212007333,211980692
211982646,211980989,212007414,211980736
211984966,211980991,212007701,211980989
211986404,211981179,212010621,211980991
211986646,211982173,212011100,211981179
211987178,211982646,212011516,211982173
211987944,211984966,212017465,211982646
211988170,211986404,212018201,211984966
211989129,211986646,212018620,211986404
211989155,211987178,212018658,211986646
211989307,211987944,212020251,211987178
211989423,211988170,212020785,211987944
211990109,211989129,212021648,211988170
211990523,211989155,212022132,211989129
211991814,211989307,212023006,211989155
211992276,211989423,212024263,211989307
211993412,211990109,212024727,211989423
211994699,211990523,212024910,211990109
211994957,211991814,212026551,211990523
211995323,211992276,212026676,211991814
211995798,211993412,212028494,211992276
211996243,211994699,212028623,211993412
211996348,211994957,212029016,211994699
211996638,211995323,212029326,211994957
212000027,211995798,212029352,211995323
212000161,211996243,212029837,211995798
212002797,211996348,212029911,211996243
212002990,211996638,212030641,211996348
212003206,211997903,212037614,211996638
212003207,212000027,212038814,211997903
212003389,212000161,212044112,212000027
212003457,212002797,212044910,212000161
212003899,212002990,212045335,212002797
212004331,212003207,212046043,212002990
212005184,212003211,212048005,212003152
212005976,212003216,212050001,212003206
212006344,212003256,212050712,212003207
212006783,212003389,212053028,212003389
212006867,212003457,212054283,212003457
212007333,212003899,212054850,212003899
212007414,212004331,212055071,212004331
212007701,212005184,212055151,212005184
212010621,212005976,212055166,212005976
212011100,212006344,212055609,212006344
212011516,212006783,212055780,212006783
212017465,212006867,212056958,212006867
212018201,212007333,212057137,212007333
212018620,212007414,212057786,212007414
212018658,212007701,212058975,212007701
212020251,212010621,212059393,212010621
212020785,212011100,212062532,212011100
212021648,212011516,212062666,212011516
212022132,212015079,212062885,212015077
212023006,212015081,212063454,212015079
212024263,212015083,212063774,212015081
212024727,212015085,212063972,212015083
212024910,212015087,212064289,212015085
212026551,212015089,212064388,212015087
212026676,212017465,212065432,212015089
212027661,212018201,212065456,212017465
212028494,212018620,212067236,212018201
212028623,212018658,212067255,212018620
212029016,212020251,212068665,212018658
212029326,212020785,212068896,212020251
212029352,212021648,212069515,212020785
212029837,212022132,212069522,212021648
212029911,212023006,212069845,212022132
212030641,212024263,212070034,212023006
212037614,212024727,212072166,212024263
212038814,212024910,212073440,212024727
212044112,212026551,212073755,212024910
212044910,212026676,212074178,212026551
212045335,212028494,212074455,212026676
212046043,212028623,212074524,212028494
212048005,212029016,212075342,212028623
212050001,212029326,212075497,212029016
212050712,212029352,212076953,212029326
212053028,212029837,212078482,212029352
212054283,212029911,212078809,212029837
212054850,212030641,212081036,212029911
212055071,212037614,212081424,212030641
212055151,212038814,212082303,212037614
212055166,212044112,212083137,212038814
212055609,212044910,212083562,212044112
212055780,212045335,212083690,212044910
212056958,212046043,212084765,212045335
212057137,212048005,212086860,212046043
212057786,212050001,212087072,212048005
212058975,212050712,212088838,212050001
212059393,212053028,212091764,212050712
212062532,212054283,212092036,212053028
212062666,212054850,212092419,212054283
212062885,212055071,212092581,212054850
212063454,212055151,212092782,212055071
212063774,212055166,212093003,212055151
212063972,212055609,212093732,212055166
212064289,212055780,212093916,212055609
212064388,212056958,212093940,212055780
212065432,212057137,212094439,212056958
212065456,212057786,212094576,212057137
212067236,212058975,212094605,212057786
212067255,212059393,212094890,212058975
212068665,212062532,212094991,212059393
212068896,212062666,212095042,212062532
212069515,212062885,212095059,212062666
212069522,212063454,212095202,212062885
212069845,212063774,212095854,212063454
212070034,212063972,212096492,212063774
212072166,212064289,212097267,212063972
212073440,212064388,212103618,212064289
212073755,212065432,212110732,212064388
212074178,212065456,212118721,212065432
212074455,212067236,212133416,212065456
212074524,212067255,212142082,212067236
212075342,212068665,212163334,212067255
212075497,212068896,212163404,212068665
212076953,212069515,212163940,212068896
212078482,212069522,212164044,212069515
212078809,212069845,212164242,212069522
212080986,212070034,212164508,212069845
212080987,212072166,212165412,212070034
212081036,212073440,212165445,212072166
212081424,212073755,212166821,212073440
212082303,212074178,212167183,212073755
212083137,212074455,212167525,212074178
212083562,212074524,212171465,212074455
212083690,212075342,212171621,212074524
212084765,212075497,212173533,212075342
